model,best_score_cv,train_duration_s,train_emissions_kg,test_duration_s,test_emissions_kg,accuracy,precision_macro,recall_macro,f1_macro,results_dir,selected_template,eff_test_f1_per_s,eff_train_cv_f1_per_s,eff_test_f1_per_kg,eff_train_cv_f1_per_kg
svm_tfidf,0.8333318000190131,7.632668776000173,2.566488343770357e-05,0.1143819829999301,8.212120829555812e-07,0.9648052557484748,0.8661826355824497,0.8624003138892227,0.8642796183779791,svm_tfidf,,7.556081785874504,0.10917960997329071,1052443.8647655984,32469.72860959066
minilm_logreg,0.731482431991041,274.9347106169989,0.0003876453255967,12.069898489999105,2.2296874375657983e-05,0.8878460816518067,0.68025071901226,0.8788111633425447,0.7284497168105891,minilm_logreg,,0.06035259678564564,0.002660567777526066,32670.485761262335,1886.9889140674527
lstm_skorch,0.7157686828051328,800.1649062979996,0.0011260598010972,0.499848923999707,1.3352817734887825e-06,0.8858126075394963,0.6719382978165903,0.8498546948215788,0.7167586914100906,lstm_skorch,,1.4339506538789923,0.0008945264621972365,536784.5990568462,635.640027383722
regex_keyword,0.6738906979481345,1.397591408000153,2.590392871874363e-06,0.074532882999847,7.687960630092045e-07,0.9357109338338808,0.7585158829114673,0.6723544695422323,0.7048633268008824,regex_keyword,,9.457078519320516,0.48218005211724996,916840.4479621318,260149.99703906648
zero_shot,,257.134296855,0.0004549705460307,253.77222090200007,0.000452134145978,0.8603159705928359,0.5789888094541299,0.6276883335335817,0.5933231889986992,zero_shot,This tweet is {}.,0.0023380147239513045,,1312.2724622253352,
