model,f1_macro,accuracy,test_emissions_kg,train_emissions_kg
svm_tfidf,0.8642796183779791,0.9648052557484748,8.212120829555812e-07,2.566488343770357e-05
minilm_logreg,0.7284497168105891,0.8878460816518067,2.2296874375657983e-05,0.0003876453255967
lstm_skorch,0.7167586914100906,0.8858126075394963,1.3352817734887825e-06,0.0011260598010972
regex_keyword,0.7048633268008824,0.9357109338338808,7.687960630092045e-07,2.590392871874363e-06
zero_shot,0.5933231889986992,0.8603159705928359,0.000452134145978,0.0004549705460307
